repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
pipenv,syft,1.903,7.5,C,32
pipenv,trivy,0.227,7.6,C,9
pipenv,cdxgen,1.831,8.6,B,109
requests,syft,1.723,7.8,C,29
requests,trivy,0.11,6.7,D,3
requests,cdxgen,2.174,8.6,B,20
scrapy,syft,1.914,7.9,C,31
scrapy,trivy,0.161,7.9,C,9
scrapy,cdxgen,1.942,8.6,B,6
celery,syft,1.667,7.8,C,30
celery,trivy,0.162,5.7,D,1
celery,cdxgen,1.702,8.5,B,52
locust,syft,2.007,8.6,B,1116
locust,trivy,0.25,8.6,B,637
locust,cdxgen,3.901,8.6,B,1114
cli,syft,1.58,7.7,C,48
cli,trivy,0.123,5.7,D,1
cli,cdxgen,1.814,8.6,B,15
httpx,syft,1.885,8.1,B,23
httpx,trivy,0.107,8.2,B,17
httpx,cdxgen,4.364,8.6,B,18
black,syft,1.702,7.9,C,53
black,trivy,0.136,7.9,C,8
black,cdxgen,2.702,8.6,B,22
pytest,syft,1.878,8.1,B,44
pytest,trivy,0.164,8.2,B,17
pytest,cdxgen,5.731,8.6,B,37
tox,syft,1.671,7.7,C,13
tox,trivy,0.109,5.7,D,1
tox,cdxgen,1.712,8.6,B,5
cookiecutter,syft,1.546,8.4,B,96
cookiecutter,trivy,0.136,8.4,B,30
cookiecutter,cdxgen,1.749,8.6,B,92
youtube-dl,syft,1.503,7.8,C,7
youtube-dl,trivy,0.153,5.7,D,1
youtube-dl,cdxgen,1.655,8.6,B,5
yt-dlp,syft,1.492,7.8,C,51
yt-dlp,trivy,0.186,5.7,D,1
yt-dlp,cdxgen,2.015,8.6,B,14
mitmproxy,syft,1.769,8.5,B,233
mitmproxy,trivy,0.351,8.5,B,132
mitmproxy,cdxgen,7.071,8.6,B,945
ansible,syft,1.84,8.2,B,54
ansible,trivy,0.655,5.7,D,1
ansible,cdxgen,10.04,8,C,39
fastapi,syft,1.926,8,C,112
fastapi,trivy,0.37,5.7,D,1
fastapi,cdxgen,7.724,8.6,B,57
django-rest-framework,syft,1.541,7.6,C,21
django-rest-framework,trivy,0.196,5.7,D,1
django-rest-framework,cdxgen,2.889,8.4,B,28
sqlmodel,syft,1.76,8,C,68
sqlmodel,trivy,0.196,5.7,D,1
sqlmodel,cdxgen,5.187,8.6,B,47
pydantic,syft,1.948,8.4,B,399
pydantic,trivy,0.223,8.4,B,122
pydantic,cdxgen,,,,
gunicorn,syft,1.7,7.3,C,7
gunicorn,trivy,0.115,5.7,D,1
gunicorn,cdxgen,2.634,8.6,B,10
